ConflictType,ITI,Reward,Risk,Trial
highconflict,1.75,9.26851851852,0.62,218
medconflict,1.75,13.0478395062,0.57,219
highconflict,5.25,10.487654321,0.63,220
highconflict,1.75,6.34259259259,0.47,221
lowconflict,1.75,14.7546296296,0.27,222
lowconflict,7.0,14.8765432099,0.17,223
medconflict,1.75,8.1712962963,0.79,224
medconflict,2.625,11.8287037037,0.65,225
medconflict,2.625,5.8549382716,0.51,226
medconflict,1.75,8.29320987654,0.76,227
lowconflict,1.75,5.73302469136,0.78,228
highconflict,1.75,5.24537037037,0.35,229
lowconflict,1.75,9.75617283951,0.32,230
medconflict,1.75,11.950617284,0.7,231
highconflict,1.75,8.65895061728,0.54,232
highconflict,1.75,5.61111111111,0.3,233
medconflict,1.75,7.80555555556,0.9,234
highconflict,1.75,11.2191358025,0.74,235
highconflict,1.75,6.83024691358,0.38,236
lowconflict,1.75,8.78086419753,0.23,237
lowconflict,2.625,13.5354938272,0.12,238
highconflict,1.75,10.2438271605,0.81,239
lowconflict,7.0,14.1450617284,0.58,240
lowconflict,1.75,8.04938271605,0.14,241
lowconflict,1.75,10.8533950617,0.15,242
medconflict,2.625,9.51234567901,0.4,243
